,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
27,1HjV7Um4zEioOdJUr2lkDV,wave,wave to earth,https://open.spotify.com/track/1HjV7Um4zEioOdJUr2lkDV,0.27,0.508,5,-8.138,0.0272,0.736,0.196,0.139,0.266,102.21
28,6KBca7atn6UmxV0fQGHOi9,gold,wave to earth,https://open.spotify.com/track/6KBca7atn6UmxV0fQGHOi9,0.521,0.585,5,-6.093,0.047,0.0396,0.00195,0.271,0.5,146.068
29,5uIsBpHUamPdpEkiVeKIyT,The Wave 파도,SE SO NEON,https://open.spotify.com/track/5uIsBpHUamPdpEkiVeKIyT,0.519,0.839,9,-2.531,0.184,0.0177,0.315,0.0718,0.543,89.825
30,7rDdN55Ma9gZlbexHiDSud,LOVE YA!,HYUKOH,https://open.spotify.com/track/7rDdN55Ma9gZlbexHiDSud,0.375,0.566,11,-6.527,0.0448,0.0919,1.56e-05,0.146,0.33,143.77
31,166iAk7X9kL8MflEfDm89P,The Lights Behind You,SURL,https://open.spotify.com/track/166iAk7X9kL8MflEfDm89P,0.474,0.548,9,-3.424,0.0326,0.73,0.00197,0.151,0.358,80.954
32,4rsTWHKJKTUYJrmZ3nwyfi,Candy,SURL,https://open.spotify.com/track/4rsTWHKJKTUYJrmZ3nwyfi,0.709,0.575,7,-3.831,0.0417,0.683,8.18e-05,0.0627,0.767,121.003
33,1Dqo8RY50LMCvjjA3kOrNZ,Dry Flower,SURL,https://open.spotify.com/track/1Dqo8RY50LMCvjjA3kOrNZ,0.679,0.595,0,-4.374,0.03,0.705,0.0,0.106,0.438,120.09
34,0cBQ6XZAINO9zSZCTNUwBh,Ferris Wheel,SURL,https://open.spotify.com/track/0cBQ6XZAINO9zSZCTNUwBh,0.743,0.584,9,-7.402,0.0532,0.0631,3.62e-06,0.265,0.507,106.864
35,32y2xMEzyCJji1IDE2wGgC,Feel it,“Hi” temperature,https://open.spotify.com/track/32y2xMEzyCJji1IDE2wGgC,0.758,0.622,4,-9.09,0.035,0.386,0.00781,0.406,0.785,102.016
36,0jpLHvVchI9Ju39wdFXKvA,The Wall,off the menu,https://open.spotify.com/track/0jpLHvVchI9Ju39wdFXKvA,0.635,0.627,0,-6.862,0.0276,0.495,1.76e-05,0.107,0.399,113.024
