,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4805,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024
4806,2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever",Shakira,https://open.spotify.com/track/2lnzGkdtDj5mtlcOW2yRtG,0.794,0.832,1,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657
4807,6gwJm7LgsaHdd3CWi4K8e8,Out Of Control,She Wants Revenge,https://open.spotify.com/track/6gwJm7LgsaHdd3CWi4K8e8,0.654,0.703,2,-6.911,0.0295,0.000501,0.0,0.113,0.555,112.474
4808,6hvwc95jXLw5z2kT73y6I5,#1 Crush,Garbage,https://open.spotify.com/track/6hvwc95jXLw5z2kT73y6I5,0.635,0.647,7,-7.055,0.0235,0.000256,0.00132,0.358,0.464,94.196
4809,59nbHGoIBlZzIhqYeUooFx,Not My Idea,Garbage,https://open.spotify.com/track/59nbHGoIBlZzIhqYeUooFx,0.578,0.921,9,-5.05,0.0368,4.81e-05,0.000116,0.0905,0.506,98.233
4810,0c1iL21nLuQNZTWiijOZUG,Only Happy When It Rains,Garbage,https://open.spotify.com/track/0c1iL21nLuQNZTWiijOZUG,0.473,0.874,8,-3.66,0.0409,6.14e-05,0.000606,0.111,0.444,121.475
4811,0wnIPcs7V0XMwtcg0yjKpg,The World Is Not Enough,Garbage,https://open.spotify.com/track/0wnIPcs7V0XMwtcg0yjKpg,0.477,0.855,10,-4.612,0.03,0.0421,0.0843,0.126,0.462,85.806
4812,2sW8fmnISifQTRgnRrQTYW,Roads,Portishead,https://open.spotify.com/track/2sW8fmnISifQTRgnRrQTYW,0.607,0.294,5,-11.836,0.0764,0.778,0.162,0.106,0.192,76.083
4813,6vTtCOimcPs5H1Jr9d0Aep,Sour Times,Portishead,https://open.spotify.com/track/6vTtCOimcPs5H1Jr9d0Aep,0.698,0.633,8,-6.68,0.0406,0.0508,0.272,0.264,0.55,94.085
4814,2MN6G2691yD8bebkuHom3C,Hello,Poe,https://open.spotify.com/track/2MN6G2691yD8bebkuHom3C,0.75,0.735,9,-8.509,0.109,0.0237,0.124,0.129,0.518,92.902
4815,4KJuD8L1r58inOBQ2vmHNb,Trigger Happy Jack - Drive-By A Go-go,Poe,https://open.spotify.com/track/4KJuD8L1r58inOBQ2vmHNb,0.575,0.503,10,-9.988,0.116,0.0493,0.0,0.321,0.481,171.074
4816,07uIJvncK53p5XjQersG1C,Angry Johnny,Poe,https://open.spotify.com/track/07uIJvncK53p5XjQersG1C,0.545,0.495,6,-11.116,0.0369,0.667,1.01e-05,0.143,0.614,176.916
4817,2aZ5oYPdDbLNRIUghXM9EV,Kiss Me,Sixpence None The Richer,https://open.spotify.com/track/2aZ5oYPdDbLNRIUghXM9EV,0.475,0.898,3,-4.776,0.0442,0.00379,0.00108,0.082,0.351,100.127
